osm_id,type
5673424,secondary
5673439,cycleway
5673465,residential
5673469,residential
5673487,pedestrian
5673461,residential
5673349,residential
5673480,service
5673443,residential
5673511,residential
5673054,residential
5673406,residential
5673505,residential
5673377,residential
5673372,residential
5673532,residential
5673370,secondary
5673533,residential
5673540,residential
5673093,residential
5673198,service
5673432,primary_link
5673316,residential
5673556,primary
5673591,residential
5673508,secondary
5673441,residential
5673610,unclassified
5673523,residential
5673538,residential
5673422,secondary
5673622,unclassified
5673624,primary
5672998,residential
5673547,tertiary
5673594,unclassified
5673561,unclassified
5673644,residential
5673497,secondary
5673657,residential
5673526,service
5673709,residential
5673713,residential
5673609,service
5673754,residential
5673743,residential
5673614,residential
5673530,secondary
5673342,secondary
5673772,pedestrian
5673628,unclassified
5673452,unclassified
5673768,residential
5673380,secondary
5673852,residential
5673733,residential
5673723,residential
5673448,cycleway
5673613,residential
5673862,secondary_link
5673171,residential
5673867,motorway_link
5673883,footway
5673018,residential
5673851,residential
5673605,unclassified
5673515,residential
5673456,secondary
5673950,footway
5673953,unclassified
5673856,motorway_link
5673729,residential
5673761,residential
5673430,secondary
5673333,residential
5673784,secondary
5673859,motorway_link
5673652,residential
5673707,residential
5673619,unclassified
5674030,motorway_link
5673063,residential
5673903,motorway_link
5673363,secondary
5673626,residential
5674069,motorway_link
5673985,motorway_link
5674073,motorway_link
5674081,motorway_link
5674092,motorway_link
5673581,unclassified
5674090,motorway_link
5673887,motorway_link
5674109,primary_link
5673882,service
5674124,track
5674121,residential
5673703,residential
5674184,residential
5674050,motorway_link
5674055,motorway_link
5673960,track
5674196,motorway_link
5673775,residential
5674199,motorway_link
5674216,motorway_link
5673978,motorway_link
5674228,motorway_link
5674236,residential
5674025,motorway_link
5674241,track
5674117,motorway_link
5674244,motorway_link
5674268,footway
5674271,track
5673890,motorway_link
5673483,cycleway
5674115,residential
5674272,motorway_link
5674129,residential
5674010,motorway_link
5674278,motorway_link
5673924,motorway_link
5674275,motorway_link
5674322,motorway_link
5673865,motorway_link
5674302,motorway_link
5674328,motorway_link
5674270,footway
5674238,motorway_link
5674356,motorway_link
5673920,motorway_link
5673492,service
5674335,motorway_link
5674208,footway
5673972,track
5674045,motorway_link
5674307,motorway_link
5674037,motorway_link
