,BLOCK,LOT,CD,CT2010,CB2010,ZipCode,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,LotType,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,Tract2010,XCoord,YCoord,SHAPE_Leng,SHAPE_Area
6127,935,47,106,70,3000,10016,2,2074,3844,900,2944,900,0,0,0,0,0,1,4,4,5,21,98.75,21,45,5,95227,406807,4700,4700,1910,1984,0,1.85,3,0,3,1,70,990706,209456,243.7258574,2080.077275
6128,935,48,106,70,3000,10016,1,2074,3780,0,3780,0,0,0,0,0,0,1,4,2,2,21,98.75,21,45,5,144015,158976,0,0,1910,0,0,1.82,3,0,3,1,70,990688,209466,244.7665315,2137.781713
6129,935,53,106,70,3000,10016,3,6164,47820,0,47820,0,0,0,0,0,0,1,18,67,67,62.42,98.75,62.42,41,5,994500,5256900,0,0,1986,0,0,7.76,3,0,3,1,70,990616,209506,327.5426041,6338.648823
6130,935,55,106,70,3000,10016,1,2074,3780,0,3780,0,0,0,0,0,0,1,3,2,2,21,98.75,21,51,5,161791,198720,0,0,1920,1989,2004,1.82,3,0,3,1,70,990563,209535,240.3771341,1950.391055
6131,935,57,106,70,3000,10016,4,2107,2898,966,1932,966,0,0,0,0,0,1,3,2,3,21.33,98.75,21.33,45,5,67796,138240,0,0,1899,0,0,1.38,3,0,3,1,70,990525,209556,248.3331123,2361.773237
6132,935,59,106,70,3000,10016,4,1515,4545,2000,2545,1000,1000,0,0,0,0,1,3,4,6,20,75.75,19,75,3,180601,481471,0,0,1910,0,0,3,7.52,2,10,1,70,990481,209626,190.9653199,1500.121203
6133,936,1,106,70,4000,10016,5,54162,173364,173364,0,0,83364,0,0,0,90000,1,2,0,6,429.75,126,429,126,3,7875000,21503250,0,0,1998,2012,0,3.2,6.02,0,6.5,1,70,990688,209856,1107.001424,53410.5802
6134,939,21,106,70,6000,10016,3,1975,7860,0,7860,0,0,0,0,0,0,1,5,13,13,20,98.75,20,48,5,80100,605250,0,0,1910,1988,0,3.98,6,0,6,1,70,991217,210237,239.2615879,1921.382974
6135,939,27,106,70,6000,10016,2,2469,10625,0,10625,0,0,0,0,0,0,1,5,18,18,25,98.75,25,85,5,99450,846000,0,0,1940,1985,0,4.3,6,0,6,1,70,991328,210175,252.0393,2563.553083
6136,939,34,106,70,6000,10016,2,2198,4138,1030,3108,1030,0,0,0,0,0,1,4,6,7,21.08,100,21,47,5,54033,217818,0,0,1930,1972,0,1.88,10,2,10,1,70,991441,210197,241.4282732,2079.813628
6137,939,36,106,70,6000,10016,4,2115,4944,969,3975,0,969,0,0,0,0,1,4,6,7,21.08,100,21,100,5,121727,345946,0,0,1910,1985,0,2.34,10,2,10,1,70,991462,210236,245.0700165,2261.716772
